CUSTID,SKU,CATEGORY,REF_COST,MAX_SELLPRICE,MAP,FINAL_PRICE
00640 ,0032628,L L ,0,0,0,0
00640 ,0032626,PHOT,0,0,0,0
00640 ,0032625,PHOT,0,0,0,0
00640 ,0032611,PHOT,0,0,0,0
00640 ,0032597,PHOT,0,0,0,0
00640 ,0032596,PHOT,0,0,0,0
00640 ,0032627,PHOT,0,0,0,0
00640 ,0032590,L L ,0,0,0,0
00640 ,0032623,PHOT,0,0,0,0
00640 ,0093939,MIN ,0.19285,0,0,1928.5
00640 ,0060965,MIN ,0.201985,0,0,2019.85
00640 ,0034139,L L ,0.14920499999999998,0,0,1492.05
00640 ,0049420,L L ,0.20299999999999999,0,0,2030
00640 ,0034140,L L ,0,0,0,0
00640 ,0086322,L L ,0.23345,0,0,2334.5
00640 ,0093929,MIN ,0.20299999999999999,0,0,2030
00640 ,0093932,MIN ,0.20299999999999999,0,0,2030
00640 ,0052949,MIN ,0.20299999999999999,0,0,2030
00640 ,0093931,MIN ,0.20299999999999999,0,0,2030
00640 ,0093930,MIN ,0.20299999999999999,0,0,2030
00640 ,0053409,STTV,17.589949999999998,0,0,175899.5
00640 ,0053408,STTV,5.431265,0,0,54312.65
00640 ,0047315,XMAS,0,0,0,0
00640 ,0047316,XMAS,5.236384999999999,0,0,52363.85
00640 ,0050162,STFX,17.489465,0,0,174894.65
00640 ,0053186,WIRE,25.190269999999998,0,0,251902.7
00640 ,0053179,L L ,0.201985,0,0,2019.85
00643 ,0002936,LIT ,0,0,0,0
00643 ,0002937,LIT ,0,0,0,0
00643 ,0002938,LIT ,0,0,0,0
00643 ,0002939,LIT ,0,0,0,0
00643 ,0031289,LIT ,0,0,0,0
00643 ,0031842,LIT ,0,0,0,0
00643 ,0032059,LIT ,0,0,0,0
00643 ,0060488,LIT ,0,0,0,0
00643 ,0060901,LIT ,0,0,0,0
00643 ,0066318,LIT ,0,0,0,0
00643 ,0002959,LIT ,0,0,0,0
00643 ,0002970,LIT ,0.10961999999999998,0,0,1096.2
00643 ,0003005,LIT ,0.6364049999999999,0,0,6364.05
00643 ,0003009,LIT ,3.24597,0,0,32459.7
00643 ,0003010,LIT ,0.226345,0,0,2263.45
00643 ,0003013,LIT ,2.8125649999999998,0,0,28125.65
00643 ,0002936,LIT ,0,0,0,0
00643 ,0002937,LIT ,0,0,0,0
00643 ,0032907,LIT ,0,0,0,0
00643 ,0032908,LIT ,0,0,0,0
00643 ,0031289,LIT ,0,0,0,0
00643 ,0031842,LIT ,0,0,0,0
00643 ,0032059,LIT ,0,0,0,0
00643 ,0060488,LIT ,0,0,0,0
00643 ,0060901,LIT ,0,0,0,0
00643 ,0066318,LIT ,0,0,0,0
00643 ,0002959,LIT ,0,0,0,0
00643 ,0002970,LIT ,0.10961999999999998,0,0,1096.2
00643 ,0003005,LIT ,0.6364049999999999,0,0,6364.05
00643 ,0003009,LIT ,3.24597,0,0,32459.7
00643 ,0003010,LIT ,0.226345,0,0,2263.45
00643 ,0003013,LIT ,2.8125649999999998,0,0,28125.65
00643 ,0066967,LIT ,0,0,0,0
00643 ,0003029,NONE,13.554309999999997,0,0,135543.1
00643 ,0003030,FLRS,1.56,0,0,15600
00643 ,0003031,FLRS,7.41,0,0,74100
00643 ,0003032,FLRS,1.015,0,0,10150
00643 ,0046979,L L ,0.49937999999999994,0,0,4993.8
00643 ,0003033,L L ,0,0,0,0
00643 ,0003034,L L ,0,0,0,0
00643 ,0052284,L L ,0.7104999999999999,0,0,7105
00643 ,0003035,L L ,0,0,0,0
00643 ,0003036,L L ,0,0,0,0
00643 ,0003037,L L ,3.184055,0,0,31840.55
00643 ,0003038,L L ,0.7104999999999999,0,0,7105
00643 ,0003039,L L ,0.658735,0,0,6587.35
00643 ,0003040,L L ,1.6097899999999998,0,0,16097.9
00643 ,0003041,L L ,2.56,0,0,25600
00643 ,0003042,L L ,1.35,0,0,13500
00643 ,0003043,L L ,0.4770499999999999,0,0,4770.5
00643 ,0003044,L L ,0,0,0,0
00643 ,0003045,L L ,0,0,0,0
00643 ,0003046,L L ,0,0,0,0
00643 ,0024653,L L ,0.5724599999999999,0,0,5724.6
00643 ,0003047,L L ,0,0,0,0
00643 ,0036509,L L ,3.89151,0,0,38915.1
00643 ,0029717,L L ,0,0,0,0
00643 ,0034615,L L ,1.8665849999999997,0,0,18665.85
00643 ,0003048,L L ,0.8119999999999999,0,0,8120
00643 ,0003049,L L ,2.8531649999999997,0,0,28531.65
00643 ,0003050,L L ,2.225895,0,0,22258.95
00643 ,0003051,L L ,0,0,0,0
00643 ,0028043,L L ,0,0,0,0
00643 ,0052128,L L ,0,0,0,0
00643 ,0067256,L L ,0.532875,0,0,5328.75
00643 ,0003052,L L ,0,0,0,0
00643 ,0003055,L L ,1.5123499999999999,0,0,15123.5
00643 ,0003058,L L ,0.9175599999999999,0,0,9175.6
00643 ,0003059,L L ,0,0,0,0
00643 ,0003060,L L ,0.47907999999999995,0,0,4790.8
00643 ,0003061,L L ,1.93,0,0,19300
00643 ,0035807,L L ,2.5780999999999996,0,0,25781
00643 ,0003063,L L ,0,0,0,0
00643 ,0003065,L L ,0.43644999999999995,0,0,4364.5
00643 ,0047126,L L ,5.138945,0,0,51389.45
00643 ,0003066,L L ,0.43,0,0,4300
00643 ,0003067,L L ,0,0,0,0
00643 ,0003068,L L ,0,0,0,0
00643 ,0003069,L L ,0,0,0,0
00643 ,0003070,L L ,0,0,0,0
00643 ,0003071,L L ,0,0,0,0
00643 ,0032360,L L ,1.4372399999999999,0,0,14372.4
00643 ,0003073,L L ,2.99425,0,0,29942.5
00643 ,0003074,L L ,0,0,0,0
00643 ,0032261,L L ,0,0,0,0
00643 ,0033362,L L ,1.8117749999999997,0,0,18117.75
00643 ,0034288,L L ,2.367995,0,0,23679.95
00643 ,0032266,L L ,1.715,0,0,17150
00643 ,0057978,L L ,7.703849999999999,0,0,77038.5
00643 ,0049154,MIN ,1.4108499999999997,0,0,14108.5
00643 ,0003079,L L ,4.53096,0,0,45309.6
00643 ,0003080,L L ,0,0,0,0
00643 ,0029593,L L ,0,0,0,0
00643 ,0003081,L L ,1.6767799999999997,0,0,16767.8
00643 ,0022550,L L ,8.928955,0,0,89289.55
00643 ,0003083,L L ,3.312,0,0,33120
00643 ,0003084,L L ,2.0807499999999997,0,0,20807.5
00643 ,0022551,L L ,18.93178,0,0,189317.8
00643 ,0003086,L L ,1.2789,0,0,12789
00643 ,0003087,L L ,1.88,0,0,18800
00643 ,0003088,L L ,0,0,0,0
00643 ,0003089,L L ,2.3669799999999994,0,0,23669.8
00643 ,0003090,L L ,3.1444699999999997,0,0,31444.7
00643 ,0003096,L L ,3.3494999999999995,0,0,33495
00643 ,0003092,L L ,2.08,0,0,20800
00643 ,0003093,L L ,4.188904999999999,0,0,41889.05
00643 ,0003094,L L ,1.35,0,0,13500
00643 ,0003095,L L ,3.25,0,0,32500
00643 ,0028853,L L ,2.5882499999999995,0,0,25882.5
00643 ,0054122,L L ,1.5986249999999997,0,0,15986.25
00643 ,0003097,L L ,0,1,0,0
00643 ,0022552,L L ,1.1885649999999999,0,0,11885.65
00643 ,0003098,L L ,3.1058999999999997,0,0,31059
00643 ,0003099,L L ,1.6514049999999998,0,0,16514.05
00643 ,0003100,L L ,1.7792949999999996,0,0,17792.95
00643 ,0003101,L L ,1.8960199999999998,0,0,18960.2
00643 ,0068012,L L ,2.22894,0,0,22289.4
00643 ,0003102,L L ,0.9946999999999999,0,0,9947
00643 ,0036259,L L ,1.7051999999999998,0,0,17052
00643 ,0031394,L L ,3.045,0,0,30450
00643 ,0035017,L L ,0,0,0,0
00643 ,0022553,L L ,1.2981849999999997,0,0,12981.85
00643 ,0003104,L L ,2.02391,0,0,20239.1
00643 ,0031976,L L ,1.4372399999999999,0,0,14372.4
00643 ,0003105,L L ,0.54325,0,0,5432.5
00643 ,0003106,L L ,0.54325,0,0,5432.5
00643 ,0003107,L L ,0.82,0,0,8200
00643 ,0003109,L L ,1.4372399999999999,0,0,14372.4
00643 ,0050630,L L ,0.63945,0,0,6394.5
00643 ,0027803,L L ,2.1325149999999997,0,0,21325.15
00643 ,0003110,L L ,0,0,0,0
00643 ,0003111,L L ,1.5133649999999998,0,0,15133.65
00643 ,0003112,L L ,0,0,0,0
00643 ,0003113,L L ,1.15,0,0,11500
00643 ,0003114,L L ,3.985905,0,0,39859.05
00643 ,0003115,L L ,3.8092949999999997,0,0,38092.95
00643 ,0003116,L L ,2.1944299999999997,0,0,21944.3
00643 ,0003117,L L ,0,0,0,0
00643 ,0003119,L L ,0,0,0,0
00643 ,0003120,L L ,0,0,0,0
00643 ,0003121,L L ,8.766555,0,0,87665.55
00643 ,0003122,L L ,4.24473,0,0,42447.3
00643 ,0003123,L L ,6.125525,0,0,61255.25
00643 ,0003124,L L ,4.4254,0,0,44254
00643 ,0003125,L L ,0,0,0,0
00643 ,0003127,L L ,2.9749649999999996,0,0,29749.65
00643 ,0003128,L L ,0,0,0,0
00643 ,0003129,L L ,2.1325149999999997,0,0,21325.15
00643 ,0032500,L L ,1.11853,0,0,11185.3
00643 ,0032501,L L ,4.5421249999999995,0,0,45421.25
00643 ,0033606,L L ,0,0,0,0
00643 ,0051770,L L ,0,0,0,0
00643 ,0003131,SLVS,0,0,0,0
00643 ,0003132,SLVS,0,0,0,0
00643 ,0022556,FLRS,2.1081549999999996,0,0,21081.55
00643 ,0022557,FLRS,0,0,0,0
00643 ,0094672,BATT,870.1,0,0,8700999.91
00643 ,0094673,BATT,238,0,0,2379999.98
00643 ,0097744,BATT,572,0,0,5719999.94
00643 ,0104715,BATT,572,0,0,5719999.94
00643 ,0105032,BATT,533,0,0,5329999.95
00643 ,0032589,L L ,0,0,0,0
00643 ,0032593,PHOT,0,0,0,0
00643 ,0032612,PHOT,0,0,0,0
00643 ,0032592,PHOT,0,0,0,0
00643 ,0032621,PHOT,0,0,0,0
00643 ,0032613,PHOT,0,0,0,0
00643 ,0032622,PHOT,0,0,0,0
00643 ,0032594,PHOT,0,0,0,0
00643 ,0032595,PHOT,0,0,0,0
00643 ,0032624,PHOT,0,0,0,0
00643 ,0032591,L L ,0,0,0,0
00643 ,0032629,L L ,0,0,0,0
00643 ,0032628,L L ,0,0,0,0
00643 ,0032626,PHOT,0,0,0,0
00643 ,0032625,PHOT,0,0,0,0
00643 ,0032611,PHOT,0,0,0,0
00643 ,0032597,PHOT,0,0,0,0
00643 ,0032596,PHOT,0,0,0,0
00643 ,0032627,PHOT,0,0,0,0
00643 ,0032590,L L ,0,0,0,0
00643 ,0032623,PHOT,0,0,0,0
00643 ,0093939,MIN ,0.19285,0,0,1928.5
00643 ,0060965,MIN ,0.201985,0,0,2019.85
00643 ,0034139,L L ,0.14920499999999998,0,0,1492.05
00643 ,0049420,L L ,0.20299999999999999,0,0,2030
00643 ,0034140,L L ,0,0,0,0
00643 ,0086322,L L ,0.23345,0,0,2334.5
00643 ,0093929,MIN ,0.20299999999999999,0,0,2030
00643 ,0093932,MIN ,0.20299999999999999,0,0,2030
00643 ,0052949,MIN ,0.20299999999999999,0,0,2030
00643 ,0093931,MIN ,0.20299999999999999,0,0,2030
00643 ,0093930,MIN ,0.20299999999999999,0,0,2030
00643 ,0053409,STTV,17.589949999999998,0,0,175899.5
00643 ,0053408,STTV,5.431265,0,0,54312.65
00643 ,0047315,XMAS,0,0,0,0
00643 ,0047316,XMAS,5.236384999999999,0,0,52363.85
00643 ,0050162,STFX,17.489465,0,0,174894.65
00643 ,0053186,WIRE,25.190269999999998,0,0,251902.7
00643 ,0053179,L L ,0.201985,0,0,2019.85
00712 ,0002936,LIT ,0,0,0,0
00712 ,0002937,LIT ,0,0,0,0
00712 ,0002938,LIT ,0,0,0,0
00712 ,0002939,LIT ,0,0,0,0
00712 ,0031289,LIT ,0,0,0,0
00712 ,0031842,LIT ,0,0,0,0
00712 ,0032059,LIT ,0,0,0,0
00712 ,0060488,LIT ,0,0,0,0
00712 ,0060901,LIT ,0,0,0,0
00712 ,0066318,LIT ,0,0,0,0
00712 ,0002959,LIT ,0,0,0,0
00712 ,0002970,LIT ,0.10961999999999998,0,0,1096.2
00712 ,0003005,LIT ,0.6364049999999999,0,0,6364.05
00712 ,0003009,LIT ,3.24597,0,0,32459.7
00712 ,0003010,LIT ,0.226345,0,0,2263.45
00712 ,0003013,LIT ,2.8125649999999998,0,0,28125.65
00712 ,0002936,LIT ,0,0,0,0
00712 ,0002937,LIT ,0,0,0,0
00712 ,0032907,LIT ,0,0,0,0
00712 ,0032908,LIT ,0,0,0,0
00712 ,0031289,LIT ,0,0,0,0
00712 ,0031842,LIT ,0,0,0,0
00712 ,0032059,LIT ,0,0,0,0
00712 ,0060488,LIT ,0,0,0,0
00712 ,0060901,LIT ,0,0,0,0
00712 ,0066318,LIT ,0,0,0,0
00712 ,0002959,LIT ,0,0,0,0
00712 ,0002970,LIT ,0.10961999999999998,0,0,1096.2
00712 ,0003005,LIT ,0.6364049999999999,0,0,6364.05
00712 ,0003009,LIT ,3.24597,0,0,32459.7
00712 ,0003010,LIT ,0.226345,0,0,2263.45
00712 ,0003013,LIT ,2.8125649999999998,0,0,28125.65
00712 ,0066967,LIT ,0,0,0,0
00712 ,0003029,NONE,13.554309999999997,0,0,135543.1
00712 ,0003030,FLRS,1.56,0,0,15600
00712 ,0003031,FLRS,7.41,0,0,74100
00712 ,0003032,FLRS,1.015,0,0,10150
00712 ,0046979,L L ,0.49937999999999994,0,0,4993.8
00712 ,0003033,L L ,0,0,0,0
00712 ,0003034,L L ,0,0,0,0
00712 ,0052284,L L ,0.7104999999999999,0,0,7105
00712 ,0003035,L L ,0,0,0,0
00712 ,0003036,L L ,0,0,0,0
00712 ,0003037,L L ,3.184055,0,0,31840.55
00712 ,0003038,L L ,0.7104999999999999,0,0,7105
00712 ,0003039,L L ,0.658735,0,0,6587.35
00712 ,0003040,L L ,1.6097899999999998,0,0,16097.9
00712 ,0003041,L L ,2.56,0,0,25600
00712 ,0003042,L L ,1.35,0,0,13500
00712 ,0003043,L L ,0.4770499999999999,0,0,4770.5
00712 ,0003044,L L ,0,0,0,0
00712 ,0003045,L L ,0,0,0,0
00712 ,0003046,L L ,0,0,0,0
00712 ,0024653,L L ,0.5724599999999999,0,0,5724.6
00712 ,0003047,L L ,0,0,0,0
00712 ,0036509,L L ,3.89151,0,0,38915.1
00712 ,0029717,L L ,0,0,0,0
00712 ,0034615,L L ,1.8665849999999997,0,0,18665.85
00712 ,0003048,L L ,0.8119999999999999,0,0,8120
00712 ,0003049,L L ,2.8531649999999997,0,0,28531.65
00712 ,0003050,L L ,2.225895,0,0,22258.95
00712 ,0003051,L L ,0,0,0,0
00712 ,0028043,L L ,0,0,0,0
00712 ,0052128,L L ,0,0,0,0
00712 ,0067256,L L ,0.532875,0,0,5328.75
00712 ,0003052,L L ,0,0,0,0
00712 ,0003055,L L ,1.5123499999999999,0,0,15123.5
00712 ,0003058,L L ,0.9175599999999999,0,0,9175.6
00712 ,0003059,L L ,0,0,0,0
00712 ,0003060,L L ,0.47907999999999995,0,0,4790.8
00712 ,0003061,L L ,1.93,0,0,19300
00712 ,0035807,L L ,2.5780999999999996,0,0,25781
00712 ,0003063,L L ,0,0,0,0
00712 ,0003065,L L ,0.43644999999999995,0,0,4364.5
00712 ,0047126,L L ,5.138945,0,0,51389.45
00712 ,0003066,L L ,0.43,0,0,4300
00712 ,0003067,L L ,0,0,0,0
00712 ,0003068,L L ,0,0,0,0
00712 ,0003069,L L ,0,0,0,0
00712 ,0003070,L L ,0,0,0,0
00712 ,0003071,L L ,0,0,0,0
00712 ,0032360,L L ,1.4372399999999999,0,0,14372.4
00712 ,0003073,L L ,2.99425,0,0,29942.5
00712 ,0003074,L L ,0,0,0,0
00712 ,0032261,L L ,0,0,0,0
00712 ,0033362,L L ,1.8117749999999997,0,0,18117.75
00712 ,0034288,L L ,2.367995,0,0,23679.95
00712 ,0032266,L L ,1.715,0,0,17150
00712 ,0057978,L L ,7.703849999999999,0,0,77038.5
00712 ,0049154,MIN ,1.4108499999999997,0,0,14108.5
00712 ,0003079,L L ,4.53096,0,0,45309.6
00712 ,0003080,L L ,0,0,0,0
00712 ,0029593,L L ,0,0,0,0
00712 ,0003081,L L ,1.6767799999999997,0,0,16767.8
00712 ,0022550,L L ,8.928955,0,0,89289.55
00712 ,0003083,L L ,3.312,0,0,33120
00712 ,0003084,L L ,2.0807499999999997,0,0,20807.5
00712 ,0022551,L L ,18.93178,0,0,189317.8
00712 ,0003086,L L ,1.2789,0,0,12789
00712 ,0003087,L L ,1.88,0,0,18800
00712 ,0003088,L L ,0,0,0,0
00712 ,0003089,L L ,2.3669799999999994,0,0,23669.8
00712 ,0003090,L L ,3.1444699999999997,0,0,31444.7
00712 ,0003096,L L ,3.3494999999999995,0,0,33495
00712 ,0003092,L L ,2.08,0,0,20800
00712 ,0003093,L L ,4.188904999999999,0,0,41889.05
00712 ,0003094,L L ,1.35,0,0,13500
00712 ,0003095,L L ,3.25,0,0,32500
00712 ,0028853,L L ,2.5882499999999995,0,0,25882.5
00712 ,0054122,L L ,1.5986249999999997,0,0,15986.25
00712 ,0003097,L L ,0,1,0,0
00712 ,0022552,L L ,1.1885649999999999,0,0,11885.65
00712 ,0003098,L L ,3.1058999999999997,0,0,31059
00712 ,0003099,L L ,1.6514049999999998,0,0,16514.05
00712 ,0003100,L L ,1.7792949999999996,0,0,17792.95
00712 ,0003101,L L ,1.8960199999999998,0,0,18960.2
00712 ,0068012,L L ,2.22894,0,0,22289.4
00712 ,0003102,L L ,0.9946999999999999,0,0,9947
00712 ,0036259,L L ,1.7051999999999998,0,0,17052
00712 ,0031394,L L ,3.045,0,0,30450
00712 ,0035017,L L ,0,0,0,0
00712 ,0022553,L L ,1.2981849999999997,0,0,12981.85
00712 ,0003104,L L ,2.02391,0,0,20239.1
00712 ,0031976,L L ,1.4372399999999999,0,0,14372.4
00712 ,0003105,L L ,0.54325,0,0,5432.5
00712 ,0003106,L L ,0.54325,0,0,5432.5
00712 ,0003107,L L ,0.82,0,0,8200
00712 ,0003109,L L ,1.4372399999999999,0,0,14372.4
00712 ,0050630,L L ,0.63945,0,0,6394.5
00712 ,0027803,L L ,2.1325149999999997,0,0,21325.15
00712 ,0003110,L L ,0,0,0,0
00712 ,0003111,L L ,1.5133649999999998,0,0,15133.65
00712 ,0003112,L L ,0,0,0,0
00712 ,0003113,L L ,1.15,0,0,11500
00712 ,0003114,L L ,3.985905,0,0,39859.05
00712 ,0003115,L L ,3.8092949999999997,0,0,38092.95
00712 ,0003116,L L ,2.1944299999999997,0,0,21944.3
00712 ,0003117,L L ,0,0,0,0
00712 ,0003119,L L ,0,0,0,0
00712 ,0003120,L L ,0,0,0,0
00712 ,0003121,L L ,8.766555,0,0,87665.55
00712 ,0003122,L L ,4.24473,0,0,42447.3
00712 ,0003123,L L ,6.125525,0,0,61255.25
00712 ,0003124,L L ,4.4254,0,0,44254
00712 ,0003125,L L ,0,0,0,0
00712 ,0003127,L L ,2.9749649999999996,0,0,29749.65
00712 ,0003128,L L ,0,0,0,0
00712 ,0003129,L L ,2.1325149999999997,0,0,21325.15
00712 ,0032500,L L ,1.11853,0,0,11185.3
00712 ,0032501,L L ,4.5421249999999995,0,0,45421.25
00712 ,0033606,L L ,0,0,0,0
00712 ,0051770,L L ,0,0,0,0
00712 ,0003131,SLVS,0,0,0,0
00712 ,0003132,SLVS,0,0,0,0
00712 ,0022556,FLRS,2.1081549999999996,0,0,21081.55
00712 ,0022557,FLRS,0,0,0,0
00712 ,0094672,BATT,870.1,0,0,8700999.91
00712 ,0094673,BATT,238,0,0,2379999.98
00712 ,0097744,BATT,572,0,0,5719999.94
00712 ,0104715,BATT,572,0,0,5719999.94
00712 ,0105032,BATT,533,0,0,5329999.95
00712 ,0032589,L L ,0,0,0,0
00712 ,0032593,PHOT,0,0,0,0
00712 ,0032612,PHOT,0,0,0,0
00712 ,0032592,PHOT,0,0,0,0
00712 ,0032621,PHOT,0,0,0,0
00712 ,0032613,PHOT,0,0,0,0
00712 ,0032622,PHOT,0,0,0,0
00712 ,0032594,PHOT,0,0,0,0
00712 ,0032595,PHOT,0,0,0,0
00712 ,0032624,PHOT,0,0,0,0
00712 ,0032591,L L ,0,0,0,0
00712 ,0032629,L L ,0,0,0,0
00712 ,0032628,L L ,0,0,0,0
00712 ,0032626,PHOT,0,0,0,0
00712 ,0032625,PHOT,0,0,0,0
00712 ,0032611,PHOT,0,0,0,0
00712 ,0032597,PHOT,0,0,0,0
00712 ,0032596,PHOT,0,0,0,0
00712 ,0032627,PHOT,0,0,0,0
00712 ,0032590,L L ,0,0,0,0
00712 ,0032623,PHOT,0,0,0,0
00712 ,0093939,MIN ,0.19285,0,0,1928.5
00712 ,0060965,MIN ,0.201985,0,0,2019.85
00712 ,0034139,L L ,0.14920499999999998,0,0,1492.05
00712 ,0049420,L L ,0.20299999999999999,0,0,2030
00712 ,0034140,L L ,0,0,0,0
00712 ,0086322,L L ,0.23345,0,0,2334.5
00712 ,0093929,MIN ,0.20299999999999999,0,0,2030
00712 ,0093932,MIN ,0.20299999999999999,0,0,2030
00712 ,0052949,MIN ,0.20299999999999999,0,0,2030
00712 ,0093931,MIN ,0.20299999999999999,0,0,2030
00712 ,0093930,MIN ,0.20299999999999999,0,0,2030
00712 ,0053409,STTV,17.589949999999998,0,0,175899.5
00712 ,0053408,STTV,5.431265,0,0,54312.65
00712 ,0047315,XMAS,0,0,0,0
00712 ,0047316,XMAS,5.236384999999999,0,0,52363.85
00712 ,0050162,STFX,17.489465,0,0,174894.65
00712 ,0053186,WIRE,25.190269999999998,0,0,251902.7
00712 ,0053179,L L ,0.201985,0,0,2019.85
00803 ,0002936,LIT ,0,0,0,0
00803 ,0002937,LIT ,0,0,0,0
00803 ,0002938,LIT ,0,0,0,0
00803 ,0002939,LIT ,0,0,0,0
00803 ,0031289,LIT ,0,0,0,0
00803 ,0031842,LIT ,0,0,0,0
00803 ,0032059,LIT ,0,0,0,0
00803 ,0060488,LIT ,0,0,0,0
00803 ,0060901,LIT ,0,0,0,0
00803 ,0066318,LIT ,0,0,0,0
00803 ,0002959,LIT ,0,0,0,0
00803 ,0002970,LIT ,0.10961999999999998,0,0,1096.2
00803 ,0003005,LIT ,0.6364049999999999,0,0,6364.05
00803 ,0003009,LIT ,3.24597,0,0,32459.7
00803 ,0003010,LIT ,0.226345,0,0,2263.45
00803 ,0003013,LIT ,2.8125649999999998,0,0,28125.65
00803 ,0002936,LIT ,0,0,0,0
00803 ,0002937,LIT ,0,0,0,0
00803 ,0032907,LIT ,0,0,0,0
00803 ,0032908,LIT ,0,0,0,0
00803 ,0031289,LIT ,0,0,0,0
00803 ,0031842,LIT ,0,0,0,0
00803 ,0032059,LIT ,0,0,0,0
00803 ,0060488,LIT ,0,0,0,0
00803 ,0060901,LIT ,0,0,0,0
00803 ,0066318,LIT ,0,0,0,0
00803 ,0002959,LIT ,0,0,0,0
00803 ,0002970,LIT ,0.10961999999999998,0,0,1096.2
00803 ,0003005,LIT ,0.6364049999999999,0,0,6364.05
00803 ,0003009,LIT ,3.24597,0,0,32459.7
00803 ,0003010,LIT ,0.226345,0,0,2263.45
00803 ,0003013,LIT ,2.8125649999999998,0,0,28125.65
00803 ,0066967,LIT ,0,0,0,0
00803 ,0003029,NONE,13.554309999999997,0,0,135543.1
00803 ,0003030,FLRS,1.56,0,0,15600
00803 ,0003031,FLRS,7.41,0,0,74100
00803 ,0003032,FLRS,1.015,0,0,10150
00803 ,0046979,L L ,0.49937999999999994,0,0,4993.8
00803 ,0003033,L L ,0,0,0,0
00803 ,0003034,L L ,0,0,0,0
00803 ,0052284,L L ,0.7104999999999999,0,0,7105
00803 ,0003035,L L ,0,0,0,0
00803 ,0003036,L L ,0,0,0,0
00803 ,0003037,L L ,3.184055,0,0,31840.55
00803 ,0003038,L L ,0.7104999999999999,0,0,7105
00803 ,0003039,L L ,0.658735,0,0,6587.35
00803 ,0003040,L L ,1.6097899999999998,0,0,16097.9
00803 ,0003041,L L ,2.56,0,0,25600
00803 ,0003042,L L ,1.35,0,0,13500
00803 ,0003043,L L ,0.4770499999999999,0,0,4770.5
00803 ,0003044,L L ,0,0,0,0
00803 ,0003045,L L ,0,0,0,0
00803 ,0003046,L L ,0,0,0,0
00803 ,0024653,L L ,0.5724599999999999,0,0,5724.6
00803 ,0003047,L L ,0,0,0,0
00803 ,0036509,L L ,3.89151,0,0,38915.1
00803 ,0029717,L L ,0,0,0,0
00803 ,0034615,L L ,1.8665849999999997,0,0,18665.85
00803 ,0003048,L L ,0.8119999999999999,0,0,8120
00803 ,0003049,L L ,2.8531649999999997,0,0,28531.65
00803 ,0003050,L L ,2.225895,0,0,22258.95
00803 ,0003051,L L ,0,0,0,0
00803 ,0028043,L L ,0,0,0,0
00803 ,0052128,L L ,0,0,0,0
00803 ,0067256,L L ,0.532875,0,0,5328.75
00803 ,0003052,L L ,0,0,0,0
00803 ,0003055,L L ,1.5123499999999999,0,0,15123.5
00803 ,0003058,L L ,0.9175599999999999,0,0,9175.6
00803 ,0003059,L L ,0,0,0,0
00803 ,0003060,L L ,0.47907999999999995,0,0,4790.8
00803 ,0003061,L L ,1.93,0,0,19300
00803 ,0035807,L L ,2.5780999999999996,0,0,25781
00803 ,0003063,L L ,0,0,0,0
00803 ,0003065,L L ,0.43644999999999995,0,0,4364.5
00803 ,0047126,L L ,5.138945,0,0,51389.45
00803 ,0003066,L L ,0.43,0,0,4300
00803 ,0003067,L L ,0,0,0,0
00803 ,0003068,L L ,0,0,0,0
00803 ,0003069,L L ,0,0,0,0
00803 ,0003070,L L ,0,0,0,0
00803 ,0003071,L L ,0,0,0,0
00803 ,0032360,L L ,1.4372399999999999,0,0,14372.4
00803 ,0003073,L L ,2.99425,0,0,29942.5
00803 ,0003074,L L ,0,0,0,0
00803 ,0032261,L L ,0,0,0,0
00803 ,0033362,L L ,1.8117749999999997,0,0,18117.75
00803 ,0034288,L L ,2.367995,0,0,23679.95
00803 ,0032266,L L ,1.715,0,0,17150
00803 ,0057978,L L ,7.703849999999999,0,0,77038.5
00803 ,0049154,MIN ,1.4108499999999997,0,0,14108.5
00803 ,0003079,L L ,4.53096,0,0,45309.6
00803 ,0003080,L L ,0,0,0,0
00803 ,0029593,L L ,0,0,0,0
00803 ,0003081,L L ,1.6767799999999997,0,0,16767.8
00803 ,0022550,L L ,8.928955,0,0,89289.55
00803 ,0003083,L L ,3.312,0,0,33120
00803 ,0003084,L L ,2.0807499999999997,0,0,20807.5
00803 ,0022551,L L ,18.93178,0,0,189317.8
00803 ,0003086,L L ,1.2789,0,0,12789
00803 ,0003087,L L ,1.88,0,0,18800
00803 ,0003088,L L ,0,0,0,0
00803 ,0003089,L L ,2.3669799999999994,0,0,23669.8
00803 ,0003090,L L ,3.1444699999999997,0,0,31444.7
00803 ,0003096,L L ,3.3494999999999995,0,0,33495
00803 ,0003092,L L ,2.08,0,0,20800
00803 ,0003093,L L ,4.188904999999999,0,0,41889.05
00803 ,0003094,L L ,1.35,0,0,13500
00803 ,0003095,L L ,3.25,0,0,32500
00803 ,0028853,L L ,2.5882499999999995,0,0,25882.5
00803 ,0054122,L L ,1.5986249999999997,0,0,15986.25
00803 ,0003097,L L ,0,1,0,0
00803 ,0022552,L L ,1.1885649999999999,0,0,11885.65
00803 ,0003098,L L ,3.1058999999999997,0,0,31059
00803 ,0003099,L L ,1.6514049999999998,0,0,16514.05
00803 ,0003100,L L ,1.7792949999999996,0,0,17792.95
00803 ,0003101,L L ,1.8960199999999998,0,0,18960.2
00803 ,0068012,L L ,2.22894,0,0,22289.4
00803 ,0003102,L L ,0.9946999999999999,0,0,9947
